NOME;TURMA;HORARIO;DIA;PROFESSORES;TERMO
Algoritmos e Estruturas de Dados I;I;13h30-15h30,13h30-15h30;TERÇA,QUINTA;Regina;3
Algoritmos e Estruturas de Dados I;N;19h00 - 21h00,19h00 - 21h00;SEGUNDA,QUARTA;Arlindo;3
Algoritmos e Estruturas de Dados II;IA;13h30-15h30,13h30-15h30;SEGUNDA,QUARTA;Alvaro;3
Algoritmos e Estruturas de Dados II;IB;15h30-17h30,15h30-17h30;SEGUNDA,QUARTA;Reginaldo;3
Algoritmos e Estruturas de Dados II;N;19h00 - 21h00,19h00 - 21h00;SEGUNDA,QUARTA;Alvaro;3
Algoritmos em Bioinformatica;IA;13h30-15h30,13h30-15h30;SEGUNDA,QUARTA;Martini;3
Algoritmos em Bioinformatica;IB;15h30-17h30,15h30-17h30;SEGUNDA,QUARTA;Martini;3
Algoritmos em Bioinformatica;NB;21h00-23h00,21h00-23h00;SEGUNDA,QUARTA;Shida;3
Algoritmos em Bioinformatica;nan;19h00 - 21h00,19h00 - 21h00;SEGUNDA,QUARTA;Shida;3
Análise Real I;I;10h00 - 12h00,10h00 - 12h00;TERÇA,QUINTA;Leandro;5
Análise de Sinais;IA;15h30-17h30,15h30-17h30;SEGUNDA,QUARTA;Adenauer;5
Análise de Sinais;IB;10h00 - 12h00,10h00 - 12h00;SEGUNDA,SEXTA;Paiva;5
Análise de Sinais;N;19h00 - 21h00,19h00 - 21h00;SEGUNDA,QUARTA;Aoki;5
Aspectos de Implementação de Banco de Dados;I;15h30-17h30,15h30-17h30;QUARTA,SEXTA;Daniela;5
Biologia Molecular da Célula;I;10h00 - 12h00,10h00 - 12h00;QUARTA,SEXTA;Cláudia;3
Bioquimica Analítica;I;13h30-15h30,15h30-17h30;TERÇA,TERÇA;Conceição;5
Biotecnologia Ambiental II;I;8h00 - 10h00,10h00 - 12h00;SEXTA,SEXTA;Danielle;7
Biotecnologia Vegetal;I;13h30-15h30,15h30-17h30;QUARTA,QUARTA;Michael;7
Biotecnologia de Energias Renováveis I;N;19h00 - 21h00,21h00-23h00;TERÇA,TERÇA;Danielle;7
Bioética e Biosseguranca;I;10h00 - 12h00,8h00 - 10h00;TERÇA,TERÇA;Luciane;5
Circuitos Digitais;IA;13h30-15h30,13h30-15h30;TERÇA,QUINTA;Fernanda;3
Circuitos Digitais;IB;15h30-17h30,15h30-17h30;TERÇA,QUINTA;Thaina;3
Circuitos Digitais;IC;8h00 - 10h00,10h00 - 12h00;SEXTA,SEXTA;Cappabianco;3
Circuitos Digitais;ID;10h00 - 12h00,10h00 - 12h00;TERÇA,QUINTA;Urban;3
Circuitos Digitais;N;19h00 - 21h00,19h00 - 21h00;TERÇA,QUINTA;Denise;3
Circuitos Elétricos II;I;8h00 - 10h00,8h00 - 10h00;SEGUNDA,SEXTA;Paiva;5
